epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_mae, e_rmse
    1,    67,          0.70448,          0.70424,       0.00024023,           18.579,           26.227,           8.4904,           10.165
    1,    68,          0.84486,          0.84458,       0.00028293,           21.084,           28.721,           8.5907,           11.039
    1,    69,          0.73348,           0.7333,       0.00018246,           19.629,           26.762,           7.4011,           8.8607
    1,    70,           0.9863,          0.98605,       0.00025415,            20.94,           31.033,           7.8985,           10.465
    1,    71,          0.62144,           0.6213,       0.00014029,           17.947,           24.634,           6.0396,           7.7779
    1,    72,          0.96949,          0.96926,       0.00022983,           20.542,           30.768,            8.036,           9.9499
    1,    73,          0.55149,          0.55138,       0.00011135,            16.55,           23.206,           5.2688,           6.9265
    1,    74,          0.70454,          0.70446,       7.9664e-05,           19.598,           26.231,            4.529,           5.8574
    1,    75,          0.67993,          0.67983,       9.4776e-05,           18.336,           25.768,           4.8806,           6.3893
    1,    76,          0.68821,           0.6879,       0.00030508,           17.971,           25.921,           10.164,           11.465
    1,    77,          0.63208,          0.63199,        8.738e-05,           18.812,           24.845,           4.5519,           6.1359
    1,    78,          0.71071,          0.71057,       0.00013782,           18.722,           26.344,           6.1002,           7.7081
    1,    79,          0.70889,          0.70879,       0.00010294,           19.048,           26.311,            5.119,           6.6612
    1,    80,          0.74774,           0.7476,       0.00014625,           19.142,           27.022,           6.0293,           7.9321
    1,    81,          0.71649,          0.71624,       0.00025725,           19.174,           26.449,           8.7564,           10.525
    1,    82,          0.69501,          0.69485,       0.00016146,           19.956,           26.051,            6.347,           8.3354
    1,    83,          0.53854,          0.53845,       8.5645e-05,           17.041,           22.933,           5.2101,             6.07
    1,    84,          0.48256,          0.48239,       0.00016624,           15.889,           21.706,           7.0642,           8.4635
    1,    85,          0.60367,          0.60358,        8.346e-05,           17.946,            24.28,           4.8745,           5.9997
    1,    86,           0.7268,          0.72662,       0.00017539,            18.95,            26.64,           6.7495,           8.6899
    1,    87,          0.54666,          0.54657,       8.9423e-05,           16.145,           23.105,           5.4304,           6.2088
    1,    88,          0.70056,           0.7004,       0.00015278,           18.587,           26.155,           6.7962,            8.108
    1,    89,          0.54675,          0.54656,       0.00018662,           16.045,           23.105,           7.1236,           8.9647
    1,    90,          0.66086,          0.66074,        0.0001173,           17.392,           25.404,           5.7954,           7.1076
    1,    91,          0.69052,          0.69039,        0.0001324,           18.218,           25.967,           5.8023,           7.5522
    1,    92,          0.77344,          0.77325,       0.00019235,           18.897,           27.482,           7.3753,           9.1032
    1,    93,          0.54306,          0.54287,        0.0001939,           16.652,           23.026,           7.4251,            9.138
    1,    94,          0.74426,          0.74413,          0.00013,           19.375,           26.959,           6.1585,           7.4869
    1,    95,          0.66268,          0.66252,       0.00016196,           18.093,           25.438,           6.9256,           8.3529
    1,    96,          0.57335,          0.57315,       0.00020781,            16.53,            23.66,           8.1418,           9.4637
    1,    97,          0.59718,          0.59704,       0.00014491,           17.912,           24.148,           6.1658,           7.8999
    1,    98,          0.72623,          0.72607,       0.00016559,           18.166,            26.63,           6.2452,           8.4473
    1,    99,          0.76006,          0.75989,       0.00017302,           18.724,           27.243,           6.6433,           8.6288
    1,   100,          0.59448,          0.59439,       9.6196e-05,           17.296,           24.094,           5.3152,           6.4339
    1,   101,           0.6733,          0.67283,       0.00047806,           17.963,           25.635,           11.732,            14.35
    1,   102,          0.61005,          0.60986,       0.00019268,           17.548,           24.406,           7.2804,           9.1113
    1,   103,          0.51288,          0.51274,       0.00014226,           16.286,           22.378,           6.1199,           7.8243
    1,   104,          0.86045,          0.86019,       0.00025788,            20.49,           28.985,           8.5778,           10.544
    1,   105,          0.52724,          0.52716,       8.0958e-05,           16.716,           22.691,            5.317,            5.903
    1,   106,          0.62425,          0.62405,       0.00020671,           17.115,           24.688,           7.7752,            9.431
    1,   107,          0.58365,          0.58353,       0.00012166,           16.898,           23.873,            5.554,           7.2392
    1,   108,          0.63183,          0.63172,       0.00010761,           17.555,            24.84,           5.4066,           6.8128
    1,   109,          0.57466,          0.57433,       0.00032693,            17.31,           23.684,           10.537,           11.862
    1,   110,          0.71882,          0.71852,       0.00030124,           18.818,           26.491,           9.1215,           11.391
    1,   111,          0.50485,          0.50472,       0.00013639,           15.953,           22.203,           5.9087,           7.6688
    1,   112,          0.65365,          0.65346,       0.00018785,           17.289,           25.263,            7.199,           8.9911
    1,   113,          0.74795,          0.74742,       0.00052783,           18.941,           27.019,           12.941,            15.08
    1,   114,          0.73158,          0.73115,       0.00042979,            18.58,           26.723,           10.287,           13.604
    1,   115,          0.55198,          0.55183,       0.00014928,           17.172,           23.216,           5.9103,           8.0204
    1,   116,          0.52242,          0.52226,        0.0001563,           15.975,           22.585,           6.2511,           8.2056
    1,   117,          0.48409,          0.48392,       0.00017136,            16.06,            21.74,           6.4514,           8.5888
    1,   118,           0.4939,          0.49372,       0.00017971,           16.063,           21.959,           7.3696,           8.7942
    1,   119,          0.47023,          0.47005,        0.0001795,            15.91,           21.427,           6.5037,           8.7918
    1,   120,          0.77621,            0.776,       0.00020475,           18.352,            27.53,           7.0949,           9.3929
    1,   121,          0.49912,          0.49896,       0.00016527,           16.117,           22.076,           6.6905,           8.4356
    1,   122,          0.55393,          0.55368,       0.00025952,           16.332,           23.255,           8.6511,           10.572
    1,   123,           0.5936,          0.59342,       0.00017778,           16.806,           24.075,           6.5533,           8.7441
    1,   124,          0.45538,          0.45523,       0.00015043,           15.387,           21.086,            6.487,           8.0522
    1,   125,          0.75515,          0.75484,       0.00030253,           18.983,           27.153,           8.7283,           11.415
    1,   126,          0.44636,          0.44626,       0.00010101,           15.363,           20.877,           5.4888,           6.5986
    1,   127,          0.55211,          0.55177,       0.00034051,           16.327,           23.215,            9.142,           12.109
    1,   128,          0.62352,          0.62332,       0.00020235,           17.279,           24.674,           7.2714,           9.3368
    1,   129,           0.5192,          0.51898,       0.00021746,           16.245,           22.514,           8.0729,           9.6798
    1,   130,          0.48477,          0.48461,       0.00016602,           15.405,           21.756,           6.2051,           8.4541
    1,   131,          0.83875,          0.83818,       0.00057169,           19.707,           28.612,           12.141,           15.691
    1,   132,          0.50789,          0.50767,        0.0002183,            16.13,           22.267,           7.3093,           9.6994
    1,   133,          0.60961,           0.6094,       0.00020552,           17.289,           24.397,           7.3725,           9.4082
    1,   134,          0.47958,          0.47938,       0.00019903,           15.874,           21.638,           7.6918,           9.2607
    1,   135,          0.47303,          0.47289,       0.00014169,           15.494,           21.491,           6.5293,           7.8134
    1,   136,          0.54965,           0.5494,       0.00025787,           16.901,           23.165,           8.3486,           10.539
    1,   137,          0.48723,          0.48704,       0.00018871,           15.991,            21.81,           6.6683,           9.0102
    1,   138,          0.57658,          0.57641,       0.00017842,           15.504,           23.727,            6.755,           8.7684
    1,   139,            0.524,          0.52379,       0.00021461,           16.261,           22.618,           7.4677,           9.6097
    1,   140,          0.53666,          0.53648,       0.00017588,           15.533,           22.891,           6.8924,           8.7006
    1,   141,          0.68397,          0.68369,       0.00027264,           17.413,           25.841,           8.6901,           10.838
    1,   142,          0.56536,          0.56521,       0.00015385,           16.675,           23.495,           6.0323,            8.142
    1,   143,          0.51291,          0.51267,       0.00024404,           16.497,           22.377,           8.2693,           10.254
    1,   144,          0.55365,          0.55355,       0.00010504,           16.684,           23.252,           4.5029,           6.7283
    1,   145,          0.46628,          0.46601,       0.00026377,           15.528,           21.334,           8.4046,           10.652
    1,   146,          0.38518,          0.38507,       0.00010625,           13.555,           19.393,           5.6275,           6.7694
    1,   147,          0.55779,          0.55756,       0.00023192,           15.776,           23.336,           7.5978,           9.9879
    1,   148,          0.48282,          0.48272,        9.202e-05,            15.42,           21.714,            4.715,            6.296
    1,   149,          0.53339,          0.53318,       0.00021766,           16.398,            22.82,           7.5518,           9.6786
    1,   150,          0.43743,          0.43716,       0.00026862,           14.786,           20.663,            8.693,           10.753
    1,   151,          0.52879,          0.52868,       0.00011255,           16.077,           22.724,           5.2974,           6.9625
    1,   152,          0.42259,          0.42245,       0.00013966,           14.156,           20.313,           6.5973,           7.7594
    1,   153,          0.59761,          0.59741,        0.0001943,           16.045,           24.156,           6.9692,           9.1455
    1,   154,          0.60224,          0.60207,       0.00016945,           16.415,            24.25,           6.4159,           8.5366
    1,   155,          0.36014,          0.35995,       0.00018853,            14.17,            18.75,           6.8062,           9.0117
    1,   156,          0.37273,           0.3726,       0.00013011,           13.388,           19.077,           6.3973,           7.4856
    1,   157,          0.44857,          0.44846,       0.00011671,            14.41,           20.929,            5.323,           7.0916
    1,   158,          0.49639,          0.49606,       0.00033551,           15.611,           22.011,           9.4734,           12.018
    1,   159,          0.39564,          0.39546,       0.00018093,            14.16,           19.653,           6.7574,           8.8313
    1,   160,          0.41797,          0.41785,       0.00011855,           13.803,           20.202,           5.1918,           7.1386
    1,   161,          0.46958,          0.46948,       9.9969e-05,           14.998,           21.414,           4.5369,           6.5644
    1,   162,          0.43613,          0.43591,       0.00021813,           15.019,           20.634,           7.7366,           9.6936
    1,   163,          0.35997,          0.35983,       0.00013231,           13.175,           18.747,            6.189,           7.5551
    1,   164,          0.46596,           0.4658,       0.00016194,           14.818,            21.33,            6.773,           8.3556
    1,   165,          0.35132,          0.35112,       0.00020766,            13.74,           18.519,           7.4474,           9.4561
    1,   166,          0.40871,          0.40848,       0.00023661,           13.893,           19.974,           8.1774,           10.089
    1,   167,          0.44007,          0.43985,       0.00022088,           14.911,           20.727,           7.8823,           9.7578
    1,   168,          0.42275,          0.42248,       0.00027102,           14.386,           20.314,            8.642,           10.798
    1,   169,          0.38537,          0.38521,       0.00016529,           14.147,           19.397,           6.8723,           8.4363
    1,   170,          0.44591,          0.44568,       0.00022485,           14.755,           20.864,           7.2602,           9.8363
    1,   171,          0.46982,          0.46939,       0.00043028,           15.269,           21.412,           10.291,           13.612
    1,   172,          0.47391,          0.47352,        0.0003871,           15.441,           21.506,           10.595,           12.907
    1,   173,          0.58428,          0.58397,       0.00031477,            15.92,           23.882,           8.8001,           11.641
    1,   174,          0.48421,          0.48403,       0.00018156,           14.538,           21.743,           7.0621,           8.8394
    1,   175,          0.68091,          0.68028,       0.00063082,           16.391,           25.777,           13.821,           16.483
    1,   176,          0.55312,          0.55272,       0.00039531,           16.409,           23.235,           11.098,           13.045
    1,   177,          0.37716,            0.377,       0.00015709,           13.697,           19.189,           6.6976,           8.2276
    1,   178,          0.44483,          0.44471,       0.00012399,           14.029,           20.841,           5.4933,           7.3076
    1,   179,          0.37247,          0.37236,       0.00011145,           13.824,            19.07,           5.2068,            6.925
    1,   180,          0.38269,          0.38253,       0.00016214,           13.542,           19.329,           6.5596,            8.351
    1,   181,           0.5052,          0.50505,       0.00014911,           15.184,            22.21,           6.5399,           8.0111
    1,   182,          0.54187,          0.54159,       0.00027865,           15.178,           22.999,           8.9448,           10.959
    1,   183,          0.43318,          0.43279,       0.00039481,           14.086,            20.56,           10.164,           13.037
    1,   184,          0.27273,           0.2726,        0.0001368,           11.479,           16.317,            6.592,           7.6804
    1,   185,          0.56221,          0.56174,       0.00047158,           15.512,           23.423,            11.97,           14.249
